ID	mcmf		dinic		rule		rule-mcmf	dinic-rule	rule/mcmf %
 1:	       1	       1	       1		  0		  0		0.000
 2:	       4	       4	       4		  0		  0		0.000
 3:	      21	      21	      21		  0		  0		0.000
 4:	      44	      44	      44		  0		  0		0.000
 5:	      79	      79	      79		  0		  0		0.000
 6:	     128	     130	     128		  0		  2		0.000
 7:	     278	     278	     278		  0		  0		0.000
 8:	     400	     400	     404		  4		 -4		1.000
 9:	     565	     567	     567		  2		  0		0.354
10:	     960	     964	     960		  0		  4		0.000
11:	    1263	    1279	    1270		  7		  9		0.554
12:	    1652	    1674	    1668		 16		  6		0.969
13:	    2466	    2480	    2468		  2		 12		0.081
14:	    3080	    3109	    3096		 16		 13		0.519
15:	    3862	    3910	    3879		 17		 31		0.440
16:	    4832	    4867	    4868		 36		 -1		0.745
17:	    6406	    6482	    6429		 23		 53		0.359
18:	    7768	    7862	    7816		 48		 46		0.618
19:	    9403	    9469	    9443		 40		 26		0.425
20:	   11912	   12024	   11960		 48		 64		0.403
21:	   14096	   14244	   14131		 35		113		0.248
22:	   16632	   16730	   16708		 76		 22		0.457
23:	   19560	   19612	   19624		 64		-12		0.327
24:	   23656	   23856	   23752		 96		104		0.406
25:	   27394	   27566	   27460		 66		106		0.241
26:	   31632	   31726	   31760		128		-34		0.405
27:	   37433	   37735	   37499		 66		236		0.176
28:	   42680	   42934	   42812		132		122		0.309
29:	   48556	   48700	   48654		 98		 46		0.202
30:	   55112	   55196	   55264		152		-68		0.276
31:	   63616	   63932	   63721		105		211		0.165
32:	   71520	   71686	   71720		200		-34		0.280
33:	   80222	   80368	   80359		137		  9		0.171
34:	   91444	   91924	   91648		204		276		0.223
35:	  101775	  102051	  101920		145		131		0.142
36:	  113096	  113274	  113344		248		-70		0.219
37:	  127535	  128099	  127682		147		417		0.115
38:	  140768	  141134	  141056		288		 78		0.205
39:	  155126	  155446	  155318		192		128		0.124
40:	  170728	  170902	  171064		336		-162		0.197
41:	  189987	  190497	  190182		195		315		0.103
42:	  207948	  208308	  208292		344		 16		0.165
43:	  227269	  227621	  227509		240		112		0.106
44:	  251132	  251906	  251524		392		382		0.156
45:	  273183	  273811	  273433		250		378		0.092
46:	  296880	  297248	  297328		448		-80		0.151
47:	  322188	  322622	  322483		295		139		0.092
48:	  352728	  353336	  353184		456		152		0.129
49:	  381299	  381913	  381605		306		308		0.080
50:	  411828	  412246	  412344		516		-98		0.125
51:	  448439	  449418	  448760		321		658		0.072
52:	  482636	  483366	  483212		576		154		0.119
53:	  518895	  519649	  519264		369		385		0.071
54:	  562480	  563602	  563064		584		538		0.104
55:	  602856	  603975	  603241		385		734		0.064
56:	  645696	  646458	  646348		652		110		0.101
57:	  690915	  691779	  691348		433		431		0.063
58:	  744344	  745570	  745064		720		506		0.097
59:	  794321	  795454	  794777		456		677		0.057
60:	  847148	  847992	  847940		792		 52		0.093
61:	  909286	  910882	  909753		467		1129		0.051
62:	  967360	  968680	  968164		804		516		0.083
63:	 1028354	 1029553	 1028882		528		671		0.051
64:	 1092600	 1093556	 1093752		1152		-196		0.105
65:	 1167116	 1168932	 1167662		546		1270		0.047
66:	 1237344	 1238687	 1238304		960		383		0.078
67:	 1310859	 1312300	 1311466		607		834		0.046
68:	 1396456	 1398456	 1397428		972		1028		0.070
69:	 1476522	 1478468	 1477148		626		1320		0.042
70:	 1560480	 1562050	 1561536		1056		514		0.068
71:	 1657902	 1660468	 1658551		649		1917		0.039
72:	 1748984	 1751178	 1750128		1144		1050		0.065
73:	 1843984	 1846146	 1844697		713		1449		0.039
74:	 1943352	 1945084	 1944584		1232		500		0.063
75:	 2057345	 2060192	 2058082		737		2110		0.036
76:	 2164680	 2167130	 2165928		1248		1202		0.058
77:	 2276366	 2278806	 2277167		801		1639		0.035
78:	 2404992	 2408022	 2406336		1344		1686		0.056
79:	 2525292	 2528440	 2526124		832		2316		0.033
80:	 2650704	 2653098	 2652144		1440		954		0.054
